,title,lyrics,artists,date,rank,cnt
0,We Found Love,"[Intro: Agyness Deyn]

[Verse 1: Rihanna]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine
What it takes to come alive

[Pre-Chorus: Rihanna]
It's the way I'm feeling, I just can't deny
But I've gotta let it go

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Drop: Calvin Harris]

[Verse 2: Rihanna]
Shine a light through an open door
Love and life, I will divide
Turn away cause I need you more
Feel the heartbeat in my mind

[Pre-Chorus: Rihanna]
It's the way I'm feeling, I just can't deny
But I've gotta let it go

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Bridge: Rihanna]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Drop: Calvin Harris]

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place",Rihanna,2011,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 7, 9, 16]",13
1,Sexy And I Know It,"When I walk on by, girls be looking like oh he's fly
I pimp to the beat, walking on the street in my new lafreak, yeah
This is how I roll, animal print, skin outta control
It's Redfoo with the big afro
And just like Bruce Lee yeah I got the glow

Oh…Oh Girl look at that body
Oh…Oh Girl look at that body
Oh…Oh Girl look at that body

Ah… I work out

When I walk in the spot, this is what I see
Everybody stops and they staring at me
I got a passion in my pants and I ain't afraid to show it, show it, show it
Uuuuuu…

I'm sexy and I know it
I'm sexy and I know it
Uuuu
I'm sexy and I know it
I'm sexy and I know it

When I'm at the mall, security just can't fight them off
And when I'm at the beach, I'm in a Speedo trying to tan my cheeks (yeah)
This is how I roll, come on ladies it's time to go
We headed to the bar, baby don't be nervous
No shoes, no shirt, and I still get serviced)

Oh…Oh Girl look at that body
Oh…Oh Girl look at that body
Oh…Oh Girl look at that body

Ah… I work out

When I walk on the spot, this is what I see
Everybody stops and they staring at me
I got passion in my pants and I ain't afraid to show it, show it, show it

Yeah!  I'm sexy and I know it
I'm sexy and I know it
Uuuuu
I'm sexy and I know it
Yeah
I'm sexy and I know it

So
Wiggle, wiggle, wiggle, yeah
Wiggle, wiggle, wiggle, yeah, yeah, yeah
Wiggle, wiggle, wiggle, yeah
Wiggle, wiggle, wiggle, yeah

I'm sexy and I know it
I'm sexy and I know it
Oh ya
I'm sexy and I know it
I'm sexy and I know it

Uuuu
I'm sexy and I know it",Noah Guthrie,2011,"[2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 6, 10, 25, 50, 76]",16
2,It Will Rain,"[Verse 1]
If you ever leave me, baby
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have
We don't have it anymore
There's no religion that could save me
No matter how long my knees are on the floor, oh
So keep in mind all the sacrifices I'm making
To keep you by my side
To keep you from walking out the door

[Chorus]
'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same if you walk away
Everyday, it will rain
Rain, rain

[Verse 2]
I'll never be your mother's favorite
Your daddy can't even look me in the eye
Ooh, if I was in their shoes, I'd be doing the same thing
Saying there goes my little girl
Walking with that troublesome guy
But they're just afraid of something they can't understand
Ooh, but little darling watch me change their minds
Yeah, for you I'll try, I'll try, I'll try, I'll try
I'll pick up these broken pieces 'til I'm bleeding
If that'll make you mine

[Chorus]
'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same if you walk away
Everyday, it will rain
Rain, rain

[Bridge]
Ooh, don't you say (Don't you say)
Goodbye (Goodbye)
Don't you say (Don't you say)
Goodbye (Goodbye)
I'll pick up these broken pieces 'til I'm bleeding
If that'll make it right

[Chorus]
'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same if you walk away
Everyday, it will rain
Rain, rain",Bruno Mars,2011,"[3, 3, 3, 3, 5, 9, 12, 21, 33, 47, 64, 28]",12
3,Good Feeling,"[Chorus: Etta James]
Oh, oh, sometimes I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah
Oh, oh, sometimes, I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah

[Verse 1: Flo Rida]
Yes I can, doubt better leave, I'm runnin' with this plan
Pull me, grab me, crabs in the bucket can't have me
I'll be the president one day
January first, oh, you like that gossip?
Like you the one drinking what God sip—dot com
Now I gotta word for your tongue
How many rolling stones you want?
Yeah I got a brand new spirit
Speaking it and it's done
Woke up on the side of the bed like I won
Talk like a winner, my chest to that sun
G5 dealer, U.S. to Taiwan
Now who can say that? I wanna play back
Mama knew I was a needle in a hay stack
A Bugatti boy, plus Maybach
I got a feeling it's a rap, ASAP

[Chorus: Etta James & Flo Rida]
Oh, oh, sometimes I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah
Oh, oh, sometimes, I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah

[Verse 2: Flo Rida]
The mountain top, walk on water
I got power, feel so royal
One second I'ma strike all you
Diamond, platinum, no more for you
Got adrenaline, never giving in
Giving up's not an option, gotta get it in
Witness, I got the heart of 20 men
No fear, go to sleep in the lion's den
That flow, that spark, that crown
You looking at the king of the jungle now
Stronger than ever, can't hold me down
A hundred miles gunning from the pitcher's mound
Straight game face, it's game day
See me running through the crowd full of melee
No trick plays, I'm Bill Gates, take a genius to understand me

[Chorus: Etta James]
Oh, oh, sometimes I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah
Oh, oh, sometimes, I get a good feeling, yeah
I get a feeling that I
Never never never never had before, no no
I get a good feeling, yeah",Flo Rida,2011,"[4, 5, 5, 8, 7, 8, 8, 12, 31, 42, 77, 82]",12
4,The One That Got Away,"[Verse 1]
Summer after high school, when we first met
We'd make out in your Mustang to Radiohead
And on my 18th birthday, we got matching tattoos
Used to steal your parents' liquor and climb to the roof
Talk about our future like we had a clue
Never planned that one day I'd be losing you

[Chorus]
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away

[Verse 2]
I was June, and you were my Johnny Cash
Never one without the other, we made a pact
Sometimes when I miss you, I put those records on, whoa
Someone said you had your tattoo removed
Saw you downtown, singing the blues
It's time to face the music, I'm no longer your muse

[Chorus]
But in another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away

[Post-Chorus]
The one
The one
The one
The one that got away

[Bridge]
All this money can't buy me a time machine, no
Can't replace you with a million rings, no
I should've told you what you meant to me, whoa
'Cause now I pay the price

[Chorus]
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away

[Post-Chorus]
The one (The one)
The one (The one)
The one (The one)
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away",Katy Perry,2011,"[5, 4, 9, 9, 10, 15, 18, 34, 55, 94]",10
5,Ni**as in Paris,"[Verse:Edisto]
SKR let me define it
South Kak Rebel still remain defient
Underrated but ill still fluxuate the climate
Talkin north pole cole zip up ya hyvent
Can you even register half the stuff that I vent
Just then to ascend like advent raising
Bringing evil to your residents like da tyrant
Flip my lid pressurized flow like a hydrant so that makes me suited for the hose
Live line on ladder 49, she's sliding down the pole
And that should be the Headline, cuz thats something they know
Keep the opposition's vision obsolete therefore thats OVO
Triangulate my position from using spokeo
Southern rapper but my influence was sent from Tokyo
Hajmemashite to my foes with no intro just ikuzo
You been Dismissed gone slit your let it trickle slow
[Course]
That shit cray I propose a a toast
I been relentless on mt olympus
With Sparta's Ghost",Edisto iLLizhii,2011,"[6, 6, 8, 15, 17, 17, 16, 17, 21, 27, 32, 35, 45, 50, 67, 81, 78, 82, 75]",19
6,Someone Like You,"[Verse 1]
I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

[Pre-Chorus]
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Verse 2]
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

[Pre-Chorus]
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Bridge]
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

[Breakdown]
Never mind, I'll find someone like you
I wish nothing but the best for you
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""
""Sometimes it lasts in love, but sometimes it hurts instead.""",Adele,2011,"[7, 7, 6, 5, 3, 3, 3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 19, 34, 51, 57, 73, 85, 97, 65]",24
7,Without You,"[Verse 1]
You said that we would always be
Without you I feel lost at sea
Through the darkness you'd hide with me
Like the wind we'd be wild and free

[Pre-Chorus]
You said you'd follow me anywhere
But your eyes tell me you won't be there

[Chorus]
I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna to tear this city down without you
I'm goin' Bonnie and Clyde without you

[Verse 2]
Now I'm running away, my dear
From myself and the truth I fear
My heart is beating I can't see clear
How I'm wishing that you were here

[Pre-Chorus]
You said you'd follow me anywhere
But your eyes tell me you won't be there

[Chorus]
I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna to tear this city down without you
I'm goin' Bonnie and Clyde without you",Avicii,2011,"[8, 9, 7, 6, 4, 4, 6, 7, 7, 7, 8, 8, 11, 15, 23, 39, 83, 83, 76, 63, 54, 52, 56, 54, 57, 59, 60, 59, 59, 56, 59, 70, 83, 95]",34
8,Moves Like Jagger,"[Verse 1: Adam Levine]
Oh
Oh

[Verse 1: Adam Levine]
Just shoot for the stars
If it feels right, then aim for my heart
If you feel like
And take me away
And make it okay
I swear I'll behave
You wanted control, so we waited
I put on a show, now I'm naked
You say I'm a kid
My ego is big
I don't give a shit
And it goes like this, uh

[Chorus: Adam Levine]
Take me by the tongue and I'll know you (Uh)
Kiss me till you're drunk and I'll show you
You want the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Uh)
I don't needa try to control you (Uh)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger

[Verse 2: Adam Levine]
Baby, it's hard, when you feel like
You're broken and scarred, nothing feels right
But when you're with me
I'll make you believe
That I've got the key
Oh, so get in the car, we can ride it
Wherever you want, get inside it
And you wanna steer, but I'm shifting gears
I'll take it from here (Oh, yeah, yeah)
And it goes like this, uh

[Chorus: Adam Levine & (Christina Aguilera)]
Take me by the tongue and I'll know you (Uh)
Kiss me till you're drunk and I'll show you
You want the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Uh)
I don't need to try to control you (Oh yeah)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger (Yeah, yeah, yeah)
I've got them moves like Jagger

[Bridge: Christina Aguilera & Adam Levine]
Uh, you wanna know, how to make me smile?
Take control, own me just for the night
And if I share my secret
You're gonna have to keep it
Nobody else can see this (Uh)
So watch and learn, I won't show you twice
Head to toe, ooh baby, rub me right
And if I share my secret
You're gonna have to keep it
Nobody else can see this
Hey, hey, hey, yeah
And it goes like this, uh

[Chorus: Adam Levine & Christina Aguilera]
Take me by the tongue and I'll know you (Take me by the tongue)
Kiss me till you're drunk and I'll show you (Yeah, yeah)
You want the moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger (Oh yeah)
I don't needa try to control you (Ooh)
Look into my eyes and I'll own you (Ooh)
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger",Maroon 5,2011,"[9, 8, 4, 4, 6, 5, 4, 4, 3, 2, 2, 2, 1, 1, 1, 2, 1, 4, 3, 8, 25, 41, 61, 62, 23, 8]",26
9,5 O'Clock,"[Hook: Lily Allen]
It's 5 o' clock in the morning
Conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in

[Verse 1: T Pain]
It's 5 o'clock in the morning, and I want ya
And you want me, don't ya?
I can see it cause you've been waiting on me
Since I said that I was hitting in the club
Sun be coming up on me
And I know you be getting so horny
Cause you be sending me textses
Like, ""Boy just get your ass up in that car
And come get all of this love""
(It's 5 o'clock in the morning) You ain't got to remind me
She already said if I don't come on time
She might go crazy
And she'll be waiting on me naked with one of my chains on
She might come and find me (aw, aw, aw)
And then ask me kindly (aw, aw, aw)
Do I want her to go crazy? We do this every night
And yet we wake up singing the same song

[Hook: Lily Allen & T-Pain]
It's 5 o' clock in the morning (Yeah)
Conversation got boring (Talk to me, girl)
You said you'd go into bed soon (Let's go)
So I snuck off to your bedroom (Come on)
And I thought I'd just wait there (Wait on me)
Until I heard you come up the stairs
(I won't let you stay lonely)
And I pretended I was sleeping (All right)
And I was hoping you would creep in (All right)
It's 5 o' clock in the morning
The conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in

[Verse 2: T-Pain]
It's 5 o'clock in the morning, and you calling
And these females got me stalling
I can hear your voice in my head like
""What is he doing? What is he doing?""
Cause I keep checking my cell phone
And these missed calls
And you texting me like, ""I'mma kill y'all
If you don't get your ass up out of that club
And do you know what time it is?""
(It's 5 o'clock in the morning) Ooh, and my bad, girl
And this Nuvo got me trippin and I know that you mad, girl
But you ain't got to worry about nothing (worry 'bout nothing)
Girl I got you, girl I got you
She might come and find me (no, no, no)
And then ask me kindly (no, no, no)
Do I want her to go crazy? We do this every night
And then we always wake up singing the same song

[Hook: Lily Allen & (T-Pain)]
It's 5 o' clock in the morning (Yeah)
Conversation got boring (Talk to me, girl)
You said you'd go into bed soon (Let's go)
So I snuck off to your bedroom (Come on)
And I thought I'd just wait there (Wait on me)
Until I heard you come up the stairs
(I won't let you stay lonely)
And I pretended I was sleeping (All right)
And I was hoping you would creep in (All right)
It's 5 o' clock in the morning
The conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in

[Verse 3: Wiz Khalifa]
Oh-oh, and you ain't got nothing on
But the t-shirt that I left over your house
The last time I came and put it on ya
Too many thirsty girls up in this club
For me to leave here with one of them, that's why I call her
And you'll be right at home waiting for me
IPhone plugged in the wall, just waiting for me
Club closed at 6, left around 4:30
Yeah, so by the time I'm at your crib
(It’s 5′O Clock in the morning) And you yawning
But I’ve been drinking all night and I feel like performing
With you in the bedroom, floor to the dresser
Dont want nothing less cause I’m sure you’re the best
You’re the one, so I let you, thats how you show me love
And when we finish you like “damn, babe you woke me up”
I like you way you put it down likes its for both of us
The sun ain't the only thing thats coming up

[Hook: Lily Allen & (T Pain)]
It's 5 o' clock in the morning (Yeah)
Conversation got boring (Talk to me, girl)
You said you'd go into bed soon (Let's go)
So I snuck off to your bedroom (Come on)
And I thought I'd just wait there (Wait on me)
Until I heard you come up the stairs
(I won't let you stay lonely)
And I pretended I was sleeping (All right)
And I was hoping you would creep in (All right)
It's 5 o' clock in the morning
The conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in",T-Pain,2011,"[10, 10, 11, 11, 15, 12, 11, 14, 20, 25, 30, 62]",12
